,Borough,2010 Census Tract Number:,Total Low-Income Units:
550,BROOKLYN,47.0,69.0
551,BROOKLYN,281.0,39.0
552,BROOKLYN,303.0,18.0
553,BROOKLYN,1132.0,66.0
554,BROOKLYN,369.0,43.0
555,BROOKLYN,47.0,27.0
556,BROOKLYN,217.0,35.0
557,BROOKLYN,365.02,22.0
558,BROOKLYN,363.0,32.0
559,BROOKLYN,437.0,11.0
560,BROOKLYN,245.0,11.0
561,BROOKLYN,359.0,35.0
562,BROOKLYN,243.0,26.0
563,BROOKLYN,319.0,82.0
564,BROOKLYN,,59.0
565,BROOKLYN,888.0,7.0
566,BROOKLYN,1128.0,15.0
567,BROOKLYN,,46.0
568,BROOKLYN,449.0,17.0
569,BROOKLYN,449.0,32.0
570,BROOKLYN,347.0,33.0
571,BROOKLYN,1128.0,50.0
572,BROOKLYN,275.0,49.0
573,BROOKLYN,261.0,65.0
574,BROOKLYN,353.0,47.0
575,BROOKLYN,259.01,54.0
576,BROOKLYN,336.0,41.0
577,BROOKLYN,369.0,11.0
578,BROOKLYN,133.0,21.0
579,BROOKLYN,279.0,22.0
580,BROOKLYN,415.0,18.0
581,BROOKLYN,419.0,41.0
582,BROOKLYN,281.0,39.0
583,BROOKLYN,245.0,13.0
584,BROOKLYN,249.0,42.0
585,BROOKLYN,263.0,40.0
586,BROOKLYN,283.0,30.0
587,BROOKLYN,315.0,29.0
588,BROOKLYN,215.0,36.0
589,BROOKLYN,291.0,31.0
590,BROOKLYN,301.0,44.0
591,BROOKLYN,59.0,30.0
592,BROOKLYN,347.0,33.0
593,BROOKLYN,341.0,24.0
594,BROOKLYN,1116.0,13.0
595,BROOKLYN,305.0,4.0
596,BROOKLYN,305.0,4.0
597,BROOKLYN,305.0,5.0
598,BROOKLYN,305.0,5.0
599,BROOKLYN,305.0,6.0
600,BROOKLYN,794.0,45.0
601,BROOKLYN,215.0,51.0
602,BROOKLYN,51.0,14.0
603,BROOKLYN,219.0,8.0
604,BROOKLYN,818.0,26.0
605,BROOKLYN,974.0,71.0
606,BROOKLYN,305.0,53.0
607,BROOKLYN,53.0,36.0
608,BROOKLYN,369.0,25.0
609,BROOKLYN,281.0,42.0
610,BROOKLYN,1150.0,25.0
611,BROOKLYN,295.0,20.0
612,BROOKLYN,1018.0,38.0
613,BROOKLYN,305.0,4.0
614,BROOKLYN,305.0,4.0
615,BROOKLYN,508.03,27.0
616,BROOKLYN,415.0,16.0
617,BROOKLYN,291.0,21.0
618,BROOKLYN,527.0,60.0
619,BROOKLYN,527.0,25.0
620,BROOKLYN,349.0,93.0
621,BROOKLYN,896.0,36.0
622,BROOKLYN,1196.0,30.0
623,BROOKLYN,1196.0,22.0
624,BROOKLYN,221.0,4.0
625,BROOKLYN,221.0,5.0
626,BROOKLYN,217.0,8.0
627,BROOKLYN,217.0,4.0
628,BROOKLYN,221.0,4.0
629,BROOKLYN,351.0,19.0
630,BROOKLYN,305.0,11.0
631,BROOKLYN,245.0,16.0
632,BROOKLYN,289.0,7.0
633,BROOKLYN,291.0,2.0
634,BROOKLYN,227.0,33.0
635,BROOKLYN,900.0,63.0
636,BROOKLYN,399.0,5.0
637,BROOKLYN,405.0,6.0
638,BROOKLYN,401.0,6.0
639,BROOKLYN,403.0,6.0
640,BROOKLYN,401.0,3.0
641,BROOKLYN,401.0,8.0
