,Borough,2010 Census Tract Number:,Total Low-Income Units:
1600,MANHATTAN,208.0,12.0
1601,MANHATTAN,208.0,12.0
1602,MANHATTAN,224.0,19.0
1603,MANHATTAN,230.0,8.0
1604,MANHATTAN,230.0,8.0
1605,MANHATTAN,230.0,41.0
1606,MANHATTAN,243.02,6.0
1607,MANHATTAN,259.0,5.0
1608,MANHATTAN,259.0,5.0
1609,MANHATTAN,285.0,99.0
1610,MANHATTAN,209.01,70.0
1611,MANHATTAN,110.0,44.0
1612,MANHATTAN,208.0,17.0
1613,MANHATTAN,151.0,119.0
1614,MANHATTAN,129.0,71.0
1615,MANHATTAN,132.0,24.0
1616,MANHATTAN,179.0,30.0
1617,MANHATTAN,26.01,46.0
1618,MANHATTAN,174.02,52.0
1619,MANHATTAN,36.02,41.0
1620,MANHATTAN,189.0,28.0
1621,MANHATTAN,156.02,53.0
1622,MANHATTAN,6.0,108.0
1623,MANHATTAN,82.0,90.0
1624,MANHATTAN,101.0,93.0
1625,MANHATTAN,110.0,41.0
1626,MANHATTAN,64.0,21.0
1627,MANHATTAN,66.0,48.0
1628,MANHATTAN,58.0,83.0
1629,MANHATTAN,213.03,24.0
1630,MANHATTAN,196.0,124.0
1631,MANHATTAN,196.0,125.0
1632,MANHATTAN,209.01,53.0
1633,MANHATTAN,222.0,25.0
1634,MANHATTAN,187.0,136.0
1635,MANHATTAN,206.0,32.0
1636,MANHATTAN,291.0,99.0
1637,MANHATTAN,220.0,6.0
1638,MANHATTAN,218.0,7.0
1639,MANHATTAN,220.0,3.0
1640,MANHATTAN,220.0,10.0
1641,MANHATTAN,220.0,13.0
1642,MANHATTAN,220.0,7.0
1643,MANHATTAN,218.0,8.0
1644,MANHATTAN,224.0,5.0
1645,MANHATTAN,224.0,2.0
1646,MANHATTAN,215.0,9.0
1647,MANHATTAN,226.0,13.0
1648,MANHATTAN,230.0,8.0
1649,MANHATTAN,226.0,12.0
1650,MANHATTAN,15.02,27.0
1651,MANHATTAN,103.0,24.0
1652,MANHATTAN,241.0,59.0
1653,MANHATTAN,234.0,83.0
1654,MANHATTAN,236.0,84.0
1655,MANHATTAN,66.0,297.0
1656,MANHATTAN,213.03,103.0
1657,MANHATTAN,224.0,48.0
1658,MANHATTAN,215.0,
1659,MANHATTAN,216.0,14.0
1660,MANHATTAN,208.0,27.0
1661,MANHATTAN,226.0,78.0
1662,MANHATTAN,212.0,10.0
1663,MANHATTAN,212.0,62.0
1664,MANHATTAN,208.0,8.0
1665,MANHATTAN,226.0,15.0
1666,MANHATTAN,208.0,6.0
1667,MANHATTAN,208.0,7.0
1668,MANHATTAN,225.0,30.0
1669,MANHATTAN,184.0,80.0
1670,MANHATTAN,257.0,25.0
1671,MANHATTAN,,80.0
1672,MANHATTAN,206.0,258.0
1673,MANHATTAN,212.0,38.0
1674,MANHATTAN,226.0,20.0
1675,MANHATTAN,164.0,70.0
1676,MANHATTAN,245.0,38.0
1677,MANHATTAN,34.0,65.0
1678,MANHATTAN,188.0,75.0
1679,MANHATTAN,117.0,234.0
1680,MANHATTAN,216.0,12.0
1681,MANHATTAN,259.0,6.0
1682,MANHATTAN,232.0,17.0
1683,MANHATTAN,232.0,13.0
1684,MANHATTAN,188.0,8.0
1685,MANHATTAN,269.0,4.0
1686,MANHATTAN,194.0,6.0
1687,MANHATTAN,168.0,
1688,MANHATTAN,208.0,46.0
1689,MANHATTAN,135.0,
1690,MANHATTAN,228.0,58.0
1691,MANHATTAN,,54.0
1692,MANHATTAN,52.0,71.0
1693,MANHATTAN,230.0,139.0
1694,MANHATTAN,22.01,262.0
1695,MANHATTAN,196.0,221.0
1696,MANHATTAN,231.0,32.0
1697,MANHATTAN,242.0,37.0
1698,MANHATTAN,34.0,29.0
1699,MANHATTAN,22.01,262.0
1700,MANHATTAN,227.0,38.0
1701,MANHATTAN,243.01,14.0
1702,MANHATTAN,235.01,3.0
1703,MANHATTAN,235.01,3.0
1704,MANHATTAN,215.0,7.0
1705,MANHATTAN,221.02,3.0
1706,MANHATTAN,220.0,9.0
1707,MANHATTAN,228.0,7.0
1708,MANHATTAN,226.0,35.0
1709,MANHATTAN,209.01,101.0
1710,MANHATTAN,206.0,47.0
1711,MANHATTAN,99.0,80.0
1712,MANHATTAN,111.0,42.0
1713,MANHATTAN,117.0,65.0
1714,MANHATTAN,117.0,65.0
1715,MANHATTAN,99.0,168.0
1716,MANHATTAN,225.0,113.0
1717,MANHATTAN,21.0,33.0
1718,MANHATTAN,206.0,98.0
1719,MANHATTAN,259.0,8.0
1720,MANHATTAN,234.0,77.0
1721,MANHATTAN,171.0,76.0
1722,MANHATTAN,173.0,27.0
1723,MANHATTAN,242.0,175.0
1724,MANHATTAN,93.0,20.0
1725,MANHATTAN,228.0,3.0
1726,MANHATTAN,228.0,8.0
1727,MANHATTAN,230.0,9.0
1728,MANHATTAN,226.0,21.0
1729,MANHATTAN,228.0,186.0
1730,MANHATTAN,228.0,191.0
1731,MANHATTAN,259.0,6.0
1732,MANHATTAN,232.0,12.0
1733,MANHATTAN,133.0,10.0
1734,MANHATTAN,230.0,31.0
1735,MANHATTAN,230.0,19.0
1736,MANHATTAN,230.0,173.0
1737,MANHATTAN,232.0,30.0
1738,MANHATTAN,232.0,98.0
1739,MANHATTAN,232.0,184.0
1740,MANHATTAN,232.0,50.0
1741,MANHATTAN,234.0,10.0
1742,MANHATTAN,232.0,594.0
1743,MANHATTAN,232.0,160.0
1744,MANHATTAN,232.0,91.0
1745,MANHATTAN,232.0,42.0
1746,MANHATTAN,232.0,44.0
1747,MANHATTAN,232.0,85.0
1748,MANHATTAN,232.0,101.0
1749,MANHATTAN,232.0,61.0
1750,MANHATTAN,232.0,21.0
1751,MANHATTAN,234.0,41.0
1752,MANHATTAN,216.0,44.0
1753,MANHATTAN,189.0,120.0
1754,MANHATTAN,172.0,53.0
1755,MANHATTAN,206.0,40.0
1756,MANHATTAN,190.0,119.0
1757,MANHATTAN,230.0,311.0
1758,MANHATTAN,230.0,73.0
1759,MANHATTAN,166.0,63.0
1760,MANHATTAN,232.0,52.0
1761,MANHATTAN,,333.0
1762,MANHATTAN,,127.0
1763,MANHATTAN,,96.0
1764,MANHATTAN,164.0,70.0
1765,MANHATTAN,164.0,334.0
1766,MANHATTAN,164.0,884.0
1767,MANHATTAN,215.0,69.0
1768,MANHATTAN,,11.0
1769,MANHATTAN,215.0,39.0
1770,MANHATTAN,236.0,30.0
1771,MANHATTAN,30.02,23.0
1772,MANHATTAN,6.0,620.0
1773,MANHATTAN,242.0,37.0
1774,MANHATTAN,127.0,82.0
1775,MANHATTAN,171.0,76.0
1776,MANHATTAN,28.0,57.0
1777,MANHATTAN,28.0,236.0
1778,MANHATTAN,226.0,14.0
1779,MANHATTAN,91.0,59.0
1780,MANHATTAN,115.0,163.0
1781,MANHATTAN,151.0,146.0
1782,MANHATTAN,151.0,146.0
1783,MANHATTAN,215.0,69.0
1784,MANHATTAN,187.0,34.0
1785,MANHATTAN,184.0,23.0
1786,MANHATTAN,93.0,340.0
1787,MANHATTAN,135.0,44.0
1788,MANHATTAN,224.0,79.0
1789,MANHATTAN,215.0,69.0
1790,MANHATTAN,230.0,1092.0
1791,MANHATTAN,242.0,49.0
1792,MANHATTAN,199.0,97.0
1793,MANHATTAN,234.0,
1794,MANHATTAN,158.02,6.0
1795,MANHATTAN,178.0,12.0
1796,MANHATTAN,241.0,11.0
1797,MANHATTAN,232.0,486.0
1798,MANHATTAN,166.0,110.0
1799,MANHATTAN,219.0,1091.0
1800,MANHATTAN,309.0,1380.0
1801,MANHATTAN,232.0,15.0
1802,MANHATTAN,220.0,22.0
1803,MANHATTAN,26.02,16.0
1804,MANHATTAN,93.0,34.0
1805,MANHATTAN,115.0,42.0
1806,MANHATTAN,6.0,49.0
1807,MANHATTAN,230.0,21.0
1808,MANHATTAN,180.0,53.0
1809,MANHATTAN,,110.0
1810,MANHATTAN,,116.0
1811,MANHATTAN,234.0,16.0
1812,MANHATTAN,232.0,58.0
1813,MANHATTAN,234.0,12.0
1814,MANHATTAN,,1067.0
1815,MANHATTAN,,196.0
1816,MANHATTAN,,180.0
1817,MANHATTAN,232.0,70.0
1818,MANHATTAN,,117.0
1819,MANHATTAN,232.0,65.0
1820,MANHATTAN,,104.0
1821,MANHATTAN,,109.0
1822,MANHATTAN,,32.0
1823,MANHATTAN,234.0,18.0
1824,MANHATTAN,259.0,5.0
1825,MANHATTAN,234.0,19.0
1826,MANHATTAN,,47.0
1827,MANHATTAN,236.0,20.0
1828,MANHATTAN,236.0,5.0
1829,MANHATTAN,,114.0
1830,MANHATTAN,206.0,65.0
1831,MANHATTAN,259.0,402.0
1832,MANHATTAN,12.0,
1833,MANHATTAN,237.0,80.0
1834,MANHATTAN,234.0,64.0
1835,MANHATTAN,234.0,62.0
1836,MANHATTAN,206.0,46.0
1837,MANHATTAN,91.0,41.0
1838,MANHATTAN,235.01,63.0
1839,MANHATTAN,209.01,72.0
1840,MANHATTAN,212.0,67.0
1841,MANHATTAN,231.0,587.0
1842,MANHATTAN,2900.0,249.0
1843,MANHATTAN,242.0,172.0
1844,MANHATTAN,,
1845,MANHATTAN,237.0,80.0
1846,MANHATTAN,164.0,71.0
1847,MANHATTAN,215.0,45.0
1848,MANHATTAN,,
1849,MANHATTAN,156.01,48.0
1850,MANHATTAN,156.02,17.0
1851,MANHATTAN,163.0,
1852,MANHATTAN,1501.0,34.0
1853,MANHATTAN,,
1854,MANHATTAN,201.02,43.0
1855,MANHATTAN,4500.0,68.0
1856,MANHATTAN,242.0,12.0
1857,MANHATTAN,,
1858,MANHATTAN,,
1859,MANHATTAN,,
1860,MANHATTAN,26.01,15.0
1861,MANHATTAN,,
1862,MANHATTAN,232.0,
1863,MANHATTAN,,
1864,MANHATTAN,48.0,17.0
1865,MANHATTAN,,
1866,MANHATTAN,,
1867,MANHATTAN,179.0,
1868,MANHATTAN,,
1869,MANHATTAN,,
1870,MANHATTAN,,
1871,MANHATTAN,,
1872,MANHATTAN,,
1873,MANHATTAN,,
1874,MANHATTAN,,
1875,MANHATTAN,291.0,9.0
1876,MANHATTAN,,
1877,MANHATTAN,,
1878,MANHATTAN,263.0,15.0
1879,MANHATTAN,,
1880,MANHATTAN,193.0,72.0
1881,MANHATTAN,287.0,21.0
1882,MANHATTAN,,
1883,MANHATTAN,201.02,29.0
1884,MANHATTAN,229.0,35.0
1885,MANHATTAN,,
1886,MANHATTAN,135.0,
1887,MANHATTAN,135.0,
1888,MANHATTAN,166.0,7.0
1889,MANHATTAN,6.0,
1890,MANHATTAN,179.0,140.0
1891,MANHATTAN,193.0,25.0
1892,MANHATTAN,220.0,27.0
1893,MANHATTAN,213.03,
1894,MANHATTAN,18.0,60.0
1895,MANHATTAN,232.0,
1896,MANHATTAN,26.01,34.0
1897,MANHATTAN,213.03,99.0
1898,MANHATTAN,196.0,
1899,MANHATTAN,232.0,
1900,MANHATTAN,234.0,
1901,QUEENS,443.01,59.0
1902,QUEENS,87.0,16.0
1903,QUEENS,964.0,20.0
1904,QUEENS,,15.0
1905,QUEENS,254.0,220.0
1906,QUEENS,998.02,122.0
1907,QUEENS,,32.0
1908,QUEENS,,98.0
1909,QUEENS,85.0,8.0
1910,QUEENS,779.08,40.0
1911,QUEENS,1010.01,423.0
1912,QUEENS,,33.0
1913,QUEENS,997.04,298.0
1914,QUEENS,266.0,150.0
1915,QUEENS,266.0,140.0
1916,QUEENS,266.0,299.0
1917,QUEENS,142.01,27.0
1918,QUEENS,,
1919,QUEENS,,58.0
1920,QUEENS,954.0,25.0
1921,QUEENS,69.0,72.0
1922,QUEENS,845.0,132.0
1923,QUEENS,992.0,437.0
1924,QUEENS,,184.0
1925,QUEENS,1205.0,419.0
1926,QUEENS,,
1927,QUEENS,,77.0
1928,QUEENS,,
1929,QUEENS,,70.0
1930,QUEENS,,70.0
1931,QUEENS,1008.02,65.0
1932,QUEENS,1010.01,350.0
1933,QUEENS,,50.0
1934,QUEENS,,52.0
1935,QUEENS,1010.01,305.0
1936,QUEENS,,19.0
1937,QUEENS,1010.01,326.0
1938,QUEENS,,
1939,QUEENS,7201.0,71.0
1940,QUEENS,,116.0
1941,QUEENS,,65.0
1942,QUEENS,,98.0
1943,QUEENS,,91.0
1944,QUEENS,4000.0,65.0
1945,QUEENS,,
1946,QUEENS,,20.0
1947,QUEENS,700.0,12.0
1948,QUEENS,6200.0,76.0
1949,STATEN ISLAND,231.0,40.0
1950,STATEN ISLAND,213.0,38.0
1951,STATEN ISLAND,207.0,36.0
1952,STATEN ISLAND,207.0,42.0
1953,STATEN ISLAND,319.01,46.0
1954,STATEN ISLAND,231.0,28.0
1955,STATEN ISLAND,40.0,108.0
1956,STATEN ISLAND,207.0,44.0
1957,STATEN ISLAND,6.0,84.0
1958,STATEN ISLAND,97.0,190.0
1959,STATEN ISLAND,181.0,8.0
1960,STATEN ISLAND,97.0,190.0
1961,STATEN ISLAND,74.0,403.0
1962,STATEN ISLAND,81.0,59.0
1963,STATEN ISLAND,74.0,419.0
1964,STATEN ISLAND,29.0,654.0
1965,STATEN ISLAND,29.0,262.0
1966,STATEN ISLAND,29.0,104.0
1967,STATEN ISLAND,29.0,179.0
1968,STATEN ISLAND,17.0,38.0
1969,STATEN ISLAND,40.0,
1970,STATEN ISLAND,319.02,38.0
