,Statistics,Population Density (Per Sq. Mile),Total Population:,White Alone,Black or African American Alone,Asian Alone,Hispanic or Latino Alone,Less than High School,Bachelor's Degree or More,Median Household Income (In 2015 Inflation Adjusted Dollars),Per Capita Income (In 2015 Inflation Adjusted Dollars),Gini Index,Occupied,Median Year Structure Built,Median Value,Median Gross Rent,Under 2.00 (Poor or Struggling),2.00 and Over (Doing Ok),Foreign Born:,Population 25 Years and Over:,Housing Units:,Population for Whom Poverty Status Is Determined:,year
550,"Census Tract 385, Bronx County, New York",68146.9,5025.0,396.0,1545.0,0.0,2937.0,1233.0,264.0,"$20,229","$10,936",0.49,1607.0,1939.0,"$423,700","$1,103",3915.0,1106.0,1828.0,2912.0,1742.0,5021.0,2015
551,Unnamed: 552,,,0.079,0.308,0.0,0.585,0.423,0.091,,,,0.9229999999999999,,,,0.78,0.22,0.364,,,,2015
552,"Census Tract 386, Bronx County, New York",47287.1,7477.0,256.0,6037.0,288.0,758.0,897.0,811.0,"$54,904","$23,052",0.41,2489.0,1954.0,"$391,500","$1,282",2886.0,4588.0,3540.0,4869.0,2813.0,7474.0,2015
553,Unnamed: 554,,,0.034,0.807,0.039,0.10099999999999999,0.184,0.16699999999999998,,,,0.885,,,,0.386,0.614,0.474,,,,2015
554,"Census Tract 387, Bronx County, New York",46597.1,3297.0,1126.0,748.0,62.0,1159.0,505.0,235.0,"$19,362","$12,248",0.53,1176.0,1939.0,"$388,900","$1,160",2408.0,860.0,1094.0,1620.0,1295.0,3268.0,2015
555,Unnamed: 556,,,0.342,0.22699999999999998,0.019,0.35200000000000004,0.312,0.145,,,,0.9079999999999999,,,,0.737,0.263,0.332,,,,2015
556,"Census Tract 388, Bronx County, New York",43050.6,2471.0,18.0,1969.0,0.0,425.0,197.0,315.0,"$51,298","$21,246",0.4,817.0,1952.0,"$391,900","$1,116",819.0,1652.0,692.0,1573.0,902.0,2471.0,2015
557,Unnamed: 558,,,0.006999999999999999,0.797,0.0,0.172,0.125,0.2,,,,0.9059999999999999,,,,0.331,0.669,0.28,,,,2015
558,"Census Tract 389, Bronx County, New York",88118.8,5908.0,1683.0,697.0,80.0,3202.0,941.0,337.0,"$28,240","$10,723",0.48,1721.0,1939.0,"$426,700","$1,250",4427.0,1349.0,2143.0,2775.0,1872.0,5776.0,2015
559,Unnamed: 560,,,0.285,0.11800000000000001,0.013999999999999999,0.542,0.33899999999999997,0.121,,,,0.919,,,,0.7659999999999999,0.23399999999999999,0.363,,,,2015
560,"Census Tract 390, Bronx County, New York",45498.7,3191.0,130.0,2529.0,58.0,331.0,443.0,208.0,"$32,364","$15,992",0.51,1006.0,1968.0,"$383,300","$1,330",1937.0,1254.0,1108.0,1924.0,1040.0,3191.0,2015
561,Unnamed: 562,,,0.040999999999999995,0.7929999999999999,0.018000000000000002,0.10400000000000001,0.23,0.10800000000000001,,,,0.9670000000000001,,,,0.607,0.39299999999999996,0.34700000000000003,,,,2015
562,"Census Tract 391, Bronx County, New York",85439.0,6808.0,2041.0,727.0,83.0,3659.0,1383.0,804.0,"$30,661","$13,881",0.42,2359.0,1939.0,"$348,400","$1,078",4941.0,1867.0,2860.0,4062.0,2631.0,6808.0,2015
563,Unnamed: 564,,,0.3,0.107,0.012,0.5379999999999999,0.341,0.198,,,,0.897,,,,0.726,0.27399999999999997,0.42,,,,2015
564,"Census Tract 392, Bronx County, New York",47147.5,1750.0,186.0,1310.0,0.0,206.0,211.0,186.0,"$39,457","$15,212",0.38,554.0,1943.0,"$408,300","$1,253",975.0,775.0,899.0,1100.0,593.0,1750.0,2015
565,Unnamed: 566,,,0.106,0.7490000000000001,0.0,0.11800000000000001,0.192,0.16899999999999998,,,,0.934,,,,0.557,0.44299999999999995,0.514,,,,2015
566,"Census Tract 393, Bronx County, New York",119672.8,8433.0,869.0,2205.0,0.0,5207.0,2122.0,356.0,"$20,891","$12,999",0.53,2996.0,1951.0,"$335,500",$930,6356.0,2046.0,2363.0,4769.0,3260.0,8402.0,2015
567,Unnamed: 568,,,0.10300000000000001,0.262,0.0,0.618,0.445,0.075,,,,0.919,,,,0.757,0.244,0.28,,,,2015
568,"Census Tract 394, Bronx County, New York",88479.1,4961.0,538.0,3349.0,77.0,741.0,953.0,315.0,"$33,708","$15,383",0.47,1602.0,1952.0,"$401,700","$1,147",2721.0,1986.0,1856.0,3096.0,1656.0,4707.0,2015
569,Unnamed: 570,,,0.10800000000000001,0.675,0.016,0.149,0.308,0.102,,,,0.9670000000000001,,,,0.578,0.42200000000000004,0.374,,,,2015
570,"Census Tract 395, Bronx County, New York",25139.8,3980.0,308.0,1590.0,0.0,1989.0,708.0,421.0,"$25,702","$15,630",0.52,1447.0,1939.0,"$342,900",$995,2245.0,1645.0,1071.0,2211.0,1634.0,3890.0,2015
571,Unnamed: 572,,,0.077,0.4,0.0,0.5,0.32,0.19,,,,0.8859999999999999,,,,0.5770000000000001,0.423,0.26899999999999996,,,,2015
572,"Census Tract 396, Bronx County, New York",49740.3,4287.0,130.0,3500.0,7.0,504.0,528.0,305.0,"$35,221","$17,035",0.51,1323.0,1960.0,"$378,600","$1,230",2384.0,1900.0,1352.0,2596.0,1487.0,4284.0,2015
573,Unnamed: 574,,,0.03,0.816,0.002,0.11800000000000001,0.203,0.11800000000000001,,,,0.89,,,,0.557,0.444,0.315,,,,2015
574,"Census Tract 397, Bronx County, New York",20362.4,4106.0,2687.0,337.0,233.0,705.0,268.0,122.0,"$21,228","$7,124",0.51,524.0,1939.0,"$425,000","$1,018",896.0,536.0,682.0,792.0,584.0,1432.0,2015
575,Unnamed: 576,,,0.654,0.08199999999999999,0.057,0.172,0.33799999999999997,0.154,,,,0.897,,,,0.626,0.374,0.166,,,,2015
576,"Census Tract 398, Bronx County, New York",35529.2,2769.0,147.0,2462.0,46.0,114.0,241.0,607.0,"$70,552","$24,825",0.42,953.0,1952.0,"$382,400","$1,299",752.0,2017.0,1419.0,1848.0,1079.0,2769.0,2015
577,Unnamed: 578,,,0.053,0.889,0.017,0.040999999999999995,0.13,0.32899999999999996,,,,0.883,,,,0.272,0.728,0.513,,,,2015
578,"Census Tract 399.01, Bronx County, New York",87466.3,5168.0,404.0,954.0,362.0,3123.0,1395.0,356.0,"$22,747","$12,105",0.46,1646.0,1939.0,"$355,600","$1,109",3671.0,1497.0,2234.0,3174.0,1790.0,5168.0,2015
579,Unnamed: 580,,,0.078,0.185,0.07,0.604,0.44,0.11199999999999999,,,,0.92,,,,0.71,0.29,0.43200000000000005,,,,2015
580,"Census Tract 399.02, Bronx County, New York",108868.1,5156.0,872.0,1297.0,106.0,2400.0,1138.0,312.0,"$24,799","$18,561",0.64,1711.0,1939.0,,"$1,080",3487.0,1561.0,2051.0,3076.0,1761.0,5048.0,2015
581,Unnamed: 582,,,0.16899999999999998,0.252,0.021,0.466,0.37,0.10099999999999999,,,,0.972,,,,0.691,0.309,0.39799999999999996,,,,2015
582,"Census Tract 401, Bronx County, New York",77321.7,5088.0,718.0,768.0,127.0,3227.0,1048.0,278.0,"$33,487","$15,653",0.48,1542.0,1939.0,,"$1,293",3029.0,2039.0,2236.0,3061.0,1576.0,5068.0,2015
583,Unnamed: 584,,,0.141,0.151,0.025,0.634,0.342,0.091,,,,0.978,,,,0.598,0.402,0.44,,,,2015
584,"Census Tract 403.02, Bronx County, New York",171323.1,4151.0,565.0,731.0,205.0,2307.0,965.0,140.0,"$25,724","$16,048",0.52,1429.0,1939.0,,"$1,154",2477.0,1614.0,1641.0,2509.0,1490.0,4091.0,2015
585,Unnamed: 586,,,0.136,0.17600000000000002,0.049,0.556,0.385,0.055999999999999994,,,,0.9590000000000001,,,,0.606,0.395,0.395,,,,2015
586,"Census Tract 403.03, Bronx County, New York",140888.9,4726.0,842.0,1027.0,251.0,2321.0,1009.0,372.0,"$40,731","$15,776",0.41,1507.0,1939.0,"$350,000","$1,161",2725.0,1948.0,2094.0,2794.0,1615.0,4673.0,2015
587,Unnamed: 588,,,0.17800000000000002,0.217,0.053,0.491,0.361,0.133,,,,0.9329999999999999,,,,0.583,0.41700000000000004,0.44299999999999995,,,,2015
588,"Census Tract 403.04, Bronx County, New York",162621.7,4229.0,482.0,334.0,266.0,3072.0,1030.0,244.0,"$34,643","$13,270",0.44,1184.0,1939.0,,"$1,219",2870.0,1359.0,2095.0,2173.0,1272.0,4229.0,2015
589,Unnamed: 590,,,0.114,0.079,0.063,0.726,0.474,0.11199999999999999,,,,0.9309999999999999,,,,0.679,0.321,0.495,,,,2015
590,"Census Tract 404, Bronx County, New York",33901.3,2818.0,95.0,2365.0,0.0,324.0,302.0,452.0,"$36,691","$20,266",0.47,1001.0,1939.0,"$386,500","$1,208",1238.0,1580.0,1075.0,1897.0,1125.0,2818.0,2015
591,Unnamed: 592,,,0.034,0.8390000000000001,0.0,0.115,0.159,0.23800000000000002,,,,0.89,,,,0.439,0.561,0.382,,,,2015
592,"Census Tract 405.01, Bronx County, New York",140955.2,4416.0,460.0,1066.0,285.0,2494.0,817.0,223.0,"$34,009","$14,820",0.44,1353.0,1939.0,"$403,300","$1,189",2603.0,1794.0,2019.0,2697.0,1447.0,4397.0,2015
593,Unnamed: 594,,,0.10400000000000001,0.24100000000000002,0.065,0.565,0.303,0.083,,,,0.935,,,,0.5920000000000001,0.408,0.457,,,,2015
594,"Census Tract 405.02, Bronx County, New York",108887.4,5937.0,600.0,1701.0,249.0,3341.0,1176.0,527.0,"$23,583","$15,803",0.53,2268.0,1939.0,"$360,900","$1,116",3674.0,2258.0,2337.0,3558.0,2431.0,5932.0,2015
595,Unnamed: 596,,,0.10099999999999999,0.287,0.042,0.563,0.331,0.14800000000000002,,,,0.9329999999999999,,,,0.619,0.381,0.39399999999999996,,,,2015
596,"Census Tract 406, Bronx County, New York",42156.2,3635.0,295.0,2720.0,61.0,430.0,520.0,359.0,"$44,773","$20,201",0.47,1184.0,1939.0,"$381,700","$1,205",1793.0,1835.0,1671.0,2383.0,1343.0,3628.0,2015
597,Unnamed: 598,,,0.081,0.748,0.017,0.11800000000000001,0.218,0.151,,,,0.882,,,,0.494,0.506,0.46,,,,2015
598,"Census Tract 407.01, Bronx County, New York",142007.9,3193.0,473.0,724.0,38.0,1846.0,735.0,246.0,"$30,354","$14,151",0.41,1161.0,1939.0,,"$1,163",1950.0,1224.0,1310.0,1976.0,1270.0,3174.0,2015
599,Unnamed: 600,,,0.14800000000000002,0.22699999999999998,0.012,0.578,0.37200000000000005,0.125,,,,0.914,,,,0.614,0.386,0.41,,,,2015
600,"Census Tract 407.02, Bronx County, New York",111081.3,7800.0,2141.0,1352.0,376.0,3550.0,1676.0,765.0,"$29,978","$13,798",0.41,2612.0,1939.0,"$462,500","$1,085",5154.0,2609.0,3329.0,4794.0,2747.0,7763.0,2015
601,Unnamed: 602,,,0.275,0.17300000000000001,0.048,0.455,0.35,0.16,,,,0.951,,,,0.664,0.336,0.42700000000000005,,,,2015
602,"Census Tract 408, Bronx County, New York",93675.0,4557.0,559.0,2713.0,131.0,962.0,522.0,476.0,"$32,244","$15,412",0.45,1506.0,1939.0,"$364,900","$1,184",2693.0,1847.0,2240.0,2701.0,1617.0,4540.0,2015
603,Unnamed: 604,,,0.12300000000000001,0.595,0.028999999999999998,0.21100000000000002,0.193,0.17600000000000002,,,,0.9309999999999999,,,,0.593,0.40700000000000003,0.49200000000000005,,,,2015
604,"Census Tract 409, Bronx County, New York",9596.3,3048.0,602.0,2096.0,67.0,158.0,349.0,549.0,"$46,278","$29,658",0.49,1320.0,1971.0,,$986,903.0,2145.0,1164.0,2310.0,1384.0,3048.0,2015
605,Unnamed: 606,,,0.198,0.688,0.022000000000000002,0.052000000000000005,0.151,0.23800000000000002,,,,0.9540000000000001,,,,0.29600000000000004,0.7040000000000001,0.382,,,,2015
606,"Census Tract 411, Bronx County, New York",62351.7,2907.0,679.0,747.0,135.0,1248.0,357.0,513.0,"$41,047","$19,363",0.45,1137.0,1951.0,"$180,600","$1,311",1075.0,1832.0,1033.0,1766.0,1215.0,2907.0,2015
607,Unnamed: 608,,,0.23399999999999999,0.257,0.046,0.429,0.20199999999999999,0.29100000000000004,,,,0.9359999999999999,,,,0.37,0.63,0.355,,,,2015
608,"Census Tract 413, Bronx County, New York",112698.9,7561.0,1620.0,739.0,537.0,4127.0,1234.0,947.0,"$38,796","$21,825",0.46,2802.0,1939.0,"$228,900","$1,161",3322.0,4132.0,2911.0,4898.0,2956.0,7454.0,2015
