,ct_index,Population_density,Total_pop,perc_white,perc_black,perc_asian,perc_hispanic,high_school_below,bachelor_up,Median_hhs_Income,Per_Capita_Income,Gini_Index,Occupied_rate,Median_Value,Median_Rent,inc_to_poverty_under2,inc_to_poverty_above2,Foreign_born,year,GEO.id2,Total_Housing_unit,n_ct,Total Low-Income Units:,perc_pc,perc_pc_,building_age,entropy_index,log_pop,log_pop_density,log_h_unit,log_income,log_inc_p
1336,"Census Tract 533, Kings County, New York",93876.26666666668,7024.333333333333,0.9849321223426825,0.009406524600895227,0.0001404956632688657,0.0022383236197935784,0.3051183415330392,0.054154663526969404,19624.0,8264.0,0.5,0.9443174715152131,13.231038394029985,6.9650803456014065,0.818895669719582,0.18110433028041786,0.13441545075377379,2012.3333333333333,36047053300.0,1787.0,533.0,0.0,0.0,0.0,78.0,0.07176899219594755,8.857135590529102,11.449732882095688,7.488293515159428,9.884508585938326,9.019664010799474
1337,"Census Tract 534, Kings County, New York",62021.780000000006,4106.4,0.6969700778800997,0.07216647892676539,0.00016989986402839649,0.03093035716125145,0.16973802318255665,0.3882162896597392,33191.2,18876.2,0.54,0.9471850840177763,13.382448122664005,7.057897937411856,0.536706883864332,0.4632931161356679,0.38370083212711775,2012.2,36047053400.0,1382.0,534.0,0.0,0.0,0.0,78.0,0.5433539615470915,8.320302011246094,11.035240892661811,7.231287004327616,10.410040059528942,9.845657148255288
1338,"Census Tract 534.01, Queens County, New York",20859.833333333332,2092.0,0.027772005314780978,0.9133715129098073,1.3462156828258702e-05,0.02017717493342154,0.09211752798348029,0.27186648763556115,74265.33333333333,30029.666666666668,0.39666666666666667,0.9756492370406183,12.851341745845655,6.946655427939693,0.16085614787067803,0.8391438521293221,0.5300722297598995,2013.0,36081053401.0,642.0,534.01,0.0,0.0,0.0,74.33333333333333,0.25348237597935963,7.645875825184813,9.945580738749754,6.464588303689961,11.21539954488463,10.30994106090467
1339,"Census Tract 535, Kings County, New York",86385.5,4326.0,0.9200184928340268,0.03744798890429958,0.0002126718661197473,0.03744798890429958,0.3009855951478393,0.07202426080363912,20044.0,7783.0,0.44,0.943250214961307,13.652991628466498,6.9650803456014065,0.8180767452612113,0.1819232547387888,0.09939898289412852,2015.0,36047053500.0,1163.0,535.0,0.0,0.0,0.0,78.0,0.32451090946482875,8.372398606513004,11.366575116634037,7.0587581525186645,9.905685136079615,8.959697146959389
1340,"Census Tract 535, Queens County, New York",6374.375,1266.5,0.6155746876774864,0.007198555979596863,0.0004973454710818549,0.3109956919392644,0.3396614668483196,0.11982842144724452,50346.75,16683.0,0.34750000000000003,0.8915723322940222,13.037567725699612,7.137874444032772,0.48592493923492786,0.5140750607650721,0.49172681052356754,2012.75,36081053500.0,452.0,535.0,0.0,0.0,0.0,78.0,0.6755929661934257,7.14401246944173,8.760041326004783,6.113682179832232,10.826689347900526,9.722145515855674
1341,"Census Tract 536.01, Queens County, New York",25509.75,1880.0,0.07057972621131338,0.7550887974248515,3.993622369358837e-05,0.06623079444254662,0.15539650636379476,0.20020637823375304,73281.75,25135.75,0.36500000000000005,0.9502648207160593,12.850357784337556,7.105991194590162,0.14235353635241327,0.8576464636475868,0.3718719761833798,2013.0,36081053601.0,511.0,536.01,0.0,0.0,0.0,74.0,0.5332177260837981,7.539027055823995,10.146816011009435,6.236369590203704,11.202066880067232,10.132046414551606
1342,"Census Tract 537, Kings County, New York",54808.399999999994,3543.75,0.9617441708169613,0.013684047643199311,0.0002714995547657654,0.00337792270383906,0.36175459639303964,0.06113118762510937,25370.25,8055.75,0.4075,0.9961071284542276,13.267199381449778,6.969555679887584,0.8289114194227841,0.1710885805772157,0.07916736121639863,2013.0,36047053700.0,701.0,537.0,0.0,0.0,0.0,43.25,0.1169445600411366,8.172940767476062,10.911598745860745,6.55250788703459,10.14133250670323,8.994141401146265
1343,"Census Tract 538, Kings County, New York",63585.200000000004,4037.3333333333335,0.7846715934043904,0.014843444144106195,0.00019427537407562407,0.11620239772295908,0.17986393202752401,0.3813617266208151,27683.333333333332,19142.0,0.47333333333333333,0.9052501442076964,13.270381002728135,7.120174866933371,0.6359615054699841,0.3640384945300159,0.5614199756744509,2014.0,36047053800.0,2107.0,538.0,0.0,0.0,0.0,72.0,0.5009231055928243,8.303339687009121,11.060136017845828,7.653020413804189,10.228585826373331,9.859640152755851
1344,"Census Tract 538, Queens County, New York",24255.024999999998,1772.5,0.013747029878236536,0.9029411233889151,7.719048752398479e-06,0.010864418730586453,0.17784534820831932,0.20818298223109663,70977.75,21797.0,0.395,0.8746154093537815,12.912197747380377,7.002155954403621,0.27092232873331756,0.7290776712666823,0.3306948581684822,2013.0,36081053800.0,473.0,538.0,0.0,0.0,0.0,77.0,0.19823924737925094,7.4801462584062826,10.096379091394102,6.159095388491933,11.170121726627901,9.989527624628513
1345,"Census Tract 539, Kings County, New York",76057.7,3075.0,0.9345246405609405,0.0448519973005738,0.000310555457248381,0.013567027689720365,0.3276952634836271,0.09268464089529968,22108.2,11347.6,0.502,0.9907888855886136,13.466803783674719,6.910351904829403,0.7242167053191643,0.27578329468083573,0.1617135667021108,2012.2,36047053900.0,835.0,539.0,0.0,0.0,0.0,42.6,0.25867350348552387,8.031060180240619,11.239247541740259,6.727431724850855,10.003703859411239,9.33676154680556
1346,"Census Tract 539, Queens County, New York",18581.38,4306.4,0.6487118299254727,0.018805594718329308,0.000150619580471244,0.11656129697828557,0.19423832510905586,0.2662775578657396,55158.4,23318.6,0.42799999999999994,0.950730247792462,13.108507831113888,7.13966033596492,0.3645990998401468,0.6354009001598532,0.4364951400701208,2012.2,36081053900.0,1471.0,539.0,0.0,0.0,0.0,78.0,0.6023759256109562,8.367857567246748,9.829915283021968,7.293697720601438,10.917964324960073,10.05700660435698
1347,"Census Tract 54, Bronx County, New York",80608.93999999999,6236.2,0.1445946935937939,0.26276369390116827,2.3232356988583426e-05,0.4773918612789162,0.4331523242985468,0.084275816254322,30614.8,14543.8,0.47000000000000003,0.8779659060732283,12.993620501511604,6.980633924394709,0.6149782897244984,0.3850217102755016,0.47659876526006145,2012.2,36005005400.0,1979.0,54.0,27.0,0.013643254168772106,0.013770543874592703,78.0,0.9758922312244416,8.7381263015043,11.297364840457904,7.590346945602565,10.32923883114533,9.584920064947571
1348,"Census Tract 54, Kings County, New York",55039.9,3368.6,0.8143705437106966,0.016813952266096204,0.0002418281437491545,0.021492296378973135,0.11286316683891835,0.48595324146779817,57434.6,42093.0,0.488,0.9158156970476083,13.11235344477501,7.179307969504034,0.27151913584819576,0.7284808641518042,0.34972716542185545,2012.2,36047005400.0,1867.0,54.0,0.0,0.0,0.0,75.4,0.31727560954783185,8.122252506764285,10.91581365574511,7.532088143541722,10.95840218816072,10.647636735062106
1349,"Census Tract 54, New York County, New York",70332.86000000002,4490.4,0.8033945934677865,0.024936198047576234,0.00017918419828966413,0.024550161640325203,0.055568889043738204,0.7751311219724923,124263.6,120202.8,0.568,0.8755816240498199,13.534340569127716,7.618251097876695,0.11542964999455044,0.8845703500054494,0.14419518115048086,2012.2,36061005400.0,2849.0,54.0,0.0,0.0,0.0,55.4,0.35990448530409214,8.40969706362799,11.160994393909629,7.954723334497908,11.730160394709365,11.696935595321083
1350,"Census Tract 54, Queens County, New York",33539.16,5442.8,0.40680494894392105,0.06587322447958135,7.499128760247798e-05,0.1895726047848763,0.18718360633299858,0.20129541676338084,58020.4,22002.2,0.42400000000000004,0.9164172317452535,12.96949187907545,7.174111564719166,0.3272113195540989,0.6727886804459012,0.45424671529471644,2012.2,36081005400.0,1799.0,54.0,0.0,0.0,0.0,78.0,0.8544947218880774,8.602048913316704,10.420468990340856,7.4949862339505335,10.968549951826052,9.998897727340786
1351,"Census Tract 540, Queens County, New York",21736.1,4426.2,0.09300805103237997,0.7493934468039021,2.0962321286351494e-05,0.08501600234562857,0.1765436110418924,0.14773261347916633,54092.6,20842.0,0.462,0.9066188766364954,12.903162045322743,7.202214335712942,0.4074507250844922,0.5925492749155078,0.4812695601240722,2012.2,36081054000.0,1326.0,540.0,0.0,0.0,0.0,76.6,0.632396047967189,8.39529670711831,9.986729751758096,7.189922170745808,10.898452671744998,9.944725460552373
1352,"Census Tract 542, Kings County, New York",64177.56,4664.2,0.8438983160297149,0.019867127742887264,0.00018246432789822855,0.04977925393125684,0.13434859936689586,0.4049719978135025,42165.4,20221.6,0.496,0.95135207085984,13.403504101812688,7.105786129481271,0.42961433583586606,0.5703856641641339,0.3254334068323892,2012.2,36047054200.0,1645.0,542.0,120.0,0.0729483282674772,0.07429200103449052,72.2,0.3541735737108468,8.447671608757592,11.069408895866976,7.405495663199472,10.649355258504714,9.914506619018562
