,Statistics,Population Density (per sq. mile),Total Population:,White Alone,Black or African American Alone,Asian Alone,Hispanic or Latino Alone,Less than High School,Bachelor's degree or More,Median household income (In 2012 Inflation Adjusted Dollars),Per capita income (In 2012 Inflation adjusted dollars),Gini Index,Occupied,Median year structure built,Median value,Median Gross Rent,Under 2.00 (Poor or struggling),2.00 and Over (Doing ok),Foreign Born:,Population 25 Years and Over:,Housing units:,Population for whom poverty status Is determined:,year
108,"Census Tract 85, New York city (part), Bronx borough, Bronx County, New York",80554.8,5650.0,803.0,1894.0,73.0,2742.0,1345.0,299.0,"$20,707","$12,330",0.52,1634.0,1945.0,"$454,700",$955,3782.0,1668.0,1699.0,3038.0,1819.0,5450.0,2012
109,Unnamed: 110,,,0.142,0.335,0.013000000000000001,0.485,0.44299999999999995,0.098,,,,0.898,,,,0.6940000000000001,0.306,0.301,,,,2012
110,"Census Tract 86, New York city (part), Bronx borough, Bronx County, New York",52904.2,3833.0,971.0,961.0,0.0,1823.0,988.0,182.0,"$19,118","$11,638",0.48,1366.0,1956.0,"$349,200",$440,2369.0,1464.0,520.0,2313.0,1491.0,3833.0,2012
111,Unnamed: 112,,,0.253,0.251,0.0,0.47600000000000003,0.42700000000000005,0.079,,,,0.9159999999999999,,,,0.618,0.382,0.136,,,,2012
112,"Census Tract 87, New York city (part), Bronx borough, Bronx County, New York",73634.5,6072.0,1071.0,1342.0,0.0,3416.0,1603.0,222.0,"$26,142","$12,417",0.48,1768.0,1956.0,"$257,900",$930,3839.0,2019.0,1780.0,3388.0,1911.0,5858.0,2012
113,Unnamed: 114,,,0.17600000000000002,0.221,0.0,0.563,0.473,0.066,,,,0.925,,,,0.655,0.345,0.293,,,,2012
114,"Census Tract 89, New York city (part), Bronx borough, Bronx County, New York",73311.4,3101.0,621.0,706.0,10.0,1337.0,961.0,68.0,"$17,515","$10,987",0.52,1139.0,1949.0,"$383,900",$663,2508.0,586.0,838.0,1698.0,1211.0,3094.0,2012
115,Unnamed: 116,,,0.2,0.228,0.003,0.431,0.5660000000000001,0.04,,,,0.941,,,,0.8109999999999999,0.18899999999999997,0.27,,,,2012
116,"Census Tract 90, New York city (part), Bronx borough, Bronx County, New York",10072.5,3773.0,1229.0,968.0,302.0,1266.0,781.0,357.0,"$26,197","$15,543",0.54,1184.0,1956.0,"$398,500",$432,2058.0,1715.0,651.0,2199.0,1235.0,3773.0,2012
117,Unnamed: 118,,,0.326,0.257,0.08,0.336,0.355,0.162,,,,0.9590000000000001,,,,0.546,0.455,0.17300000000000001,,,,2012
118,"Census Tract 92, New York city (part), Bronx borough, Bronx County, New York",43893.1,5230.0,566.0,532.0,764.0,3262.0,1310.0,453.0,"$39,036","$16,474",0.45,1683.0,1939.0,"$420,800","$1,222",2600.0,2630.0,2064.0,3265.0,1912.0,5230.0,2012
119,Unnamed: 120,,,0.10800000000000001,0.102,0.146,0.624,0.401,0.139,,,,0.88,,,,0.49700000000000005,0.503,0.395,,,,2012
120,"Census Tract 93, New York city (part), Bronx borough, Bronx County, New York",7407.6,6578.0,2371.0,2062.0,6.0,1807.0,1702.0,285.0,"$30,723","$12,282",0.41,1754.0,1963.0,"$345,600",$951,3614.0,2048.0,1426.0,3915.0,1979.0,5662.0,2012
121,Unnamed: 122,,,0.36,0.314,0.001,0.275,0.435,0.073,,,,0.8859999999999999,,,,0.638,0.36200000000000004,0.217,,,,2012
122,"Census Tract 96, New York city (part), Bronx borough, Bronx County, New York",9146.4,2469.0,546.0,421.0,252.0,1132.0,364.0,280.0,"$45,227","$14,859",0.4,658.0,1944.0,"$524,000","$1,447",1233.0,1017.0,695.0,1455.0,775.0,2250.0,2012
123,Unnamed: 124,,,0.221,0.171,0.102,0.45899999999999996,0.25,0.192,,,,0.8490000000000001,,,,0.5479999999999999,0.452,0.282,,,,2012
124,"Census Tract 98, New York city (part), Bronx borough, Bronx County, New York",23969.2,4775.0,1144.0,1298.0,160.0,1978.0,522.0,693.0,"$50,302","$24,424",0.42,1713.0,1952.0,"$399,400","$1,165",1731.0,3034.0,659.0,3024.0,1914.0,4765.0,2012
