,ct_index,Population_density,Total_pop,perc_white,perc_black,perc_asian,perc_hispanic,high_school_below,bachelor_up,Median_hhs_Income,Per_Capita_Income,Gini_Index,Occupied_rate,Median_Value,Median_Rent,inc_to_poverty_under2,inc_to_poverty_above2,Foreign_born,year,GEO.id2,Total_Housing_unit,n_ct,Total Low-Income Units:,perc_pc,perc_pc_,building_age,entropy_index
3902,"Census Tract 566, Kings County, New York",44558.1,2951.0,0.5987800745509997,0.03558115892917655,0.00020290751424974573,0.021009827177228057,0.14573877962682805,0.3817448310640444,"$56,438","$28,357",0.44,0.9717668488160291,"$564,400","$1,203",0.2805828532700779,0.7194171467299221,0.4273127753303965,2014,36047056600,1073,566.0,0.0,0.0,0.0,72.0,0.5086687649421539
3903,"Census Tract 566, Kings County, New York",42851.9,2838.0,0.6289640591966174,0.0204369274136716,0.00022162229006223306,0.03840732910500352,0.13808801213960548,0.4051593323216995,"$55,909","$28,249",0.44,0.9854280510018216,"$568,400","$1,208",0.2695560253699789,0.7304439746300211,0.4302325581395349,2013,36047056600,1073,566.0,0.0,0.0,0.0,70.0,0.49820065717244155
3904,"Census Tract 566, Kings County, New York",39303.6,2603.0,0.6369573568958894,0.08490203611217825,0.00024470125120856296,0.014982712255090281,0.10582576162479958,0.398717263495457,"$54,442","$30,145",0.4,0.9787430683918668,"$585,900","$1,118",0.276219746446408,0.723780253553592,0.4433346139070303,2010,36047056600,1073,566.0,0.0,0.0,0.0,62.0,0.5616665675493488
3905,"Census Tract 566, Kings County, New York",40737.6,2692.0,0.662704309063893,0.11404160475482912,0.00024617544913220393,0.011144130757800892,0.10317060895822848,0.3784599899345748,"$52,147","$28,567",0.39,0.968721251149954,"$559,900","$1,109",0.2897473997028232,0.7102526002971769,0.4531946508172362,2009,36047056600,1073,566.0,0.0,0.0,0.0,63.0,0.5724192319764057
3911,"Census Tract 569, Kings County, New York",29036.7,1432.0,0.9113128491620112,0.0076815642458100564,0.0006363916544427453,0.006983240223463687,0.05624483043837883,0.6244830438378826,"$71,111","$46,312",0.42,0.9025893958076447,"$804,200","$1,714",0.2849162011173184,0.7150837988826816,0.32472067039106145,2015,36047056900,811,569.0,0.0,0.0,0.0,78.0,0.16138389837408723
3912,"Census Tract 569, Kings County, New York",29442.3,1452.0,0.9407713498622591,0.011019283746556474,0.0006479141527976992,0.013085399449035813,0.110051993067591,0.4904679376083189,"$71,603","$40,289",0.37,0.866504854368932,"$778,800","$1,584",0.1921487603305785,0.8078512396694215,0.33539944903581265,2014,36047056900,811,569.0,0.0,0.0,0.0,78.0,0.1686135633778953
3916,"Census Tract 570, Kings County, New York",32783.0,3321.0,0.7422463113520024,0.029509183980728694,0.00022350084653779053,0.05269497139415839,0.12905577834487786,0.33977397010572363,"$57,200","$32,732",0.39,0.9663978494623656,"$184,900","$1,186",0.21478551871007,0.7852144812899301,0.35832580548027704,2015,36047057000,1488,570.0,0.0,0.0,0.0,62.0,0.482179334805475
3917,"Census Tract 570, Kings County, New York",35626.0,3609.0,0.6796896647270713,0.03518980326960377,0.00018833185500888647,0.03463563313937379,0.15188125647221262,0.31998619261304806,"$62,653","$32,798",0.4,0.9776271186440678,"$200,700","$1,096",0.2171945701357466,0.7828054298642534,0.370462732058742,2014,36047057000,1488,570.0,0.0,0.0,0.0,62.0,0.49831189010406796
3918,"Census Tract 570, Kings County, New York",32822.5,3325.0,0.6863157894736842,0.041203007518796984,0.000206410763751484,0.02917293233082707,0.1539014742898238,0.3042071197411003,"$60,958","$33,856",0.4,0.9375,"$201,400","$1,140",0.2468905472636816,0.7531094527363185,0.3509774436090225,2013,36047057000,1488,570.0,0.0,0.0,0.0,62.0,0.49461133117121864
3919,"Census Tract 570, Kings County, New York",30078.3,3047.0,0.7088939940925499,0.026911716442402363,0.00023265309947244833,0.008204791598293404,0.18145483613109512,0.3029576338928857,"$54,257","$29,135",0.41,0.8645763842561708,"$198,700",$854,0.2464422075668171,0.7535577924331829,0.37643583852970136,2010,36047057000,1488,570.0,0.0,0.0,0.0,62.0,0.38253981452429114
3920,"Census Tract 570, Kings County, New York",32572.4,3149.0,0.7684979358526516,0.03143855192124484,0.00024404507330982904,0.0076214671324229925,0.1518752320831786,0.34645376903082065,"$56,786","$29,581",0.38,0.8758256274768824,"$190,200",$825,0.18799044694643466,0.8120095530535654,0.3480469990473166,2009,36047057000,1488,570.0,0.0,0.0,0.0,63.0,0.3503257509643922
3921,"Census Tract 571, Kings County, New York",57228.7,3886.0,0.9469891919711786,0.009264024704065878,0.00024369253524734395,0.005918682449819866,0.055405810122791256,0.5501647199760408,"$58,553","$42,449",0.46,0.8839368616527391,"$607,100","$1,722",0.23674729799279465,0.7632527020072054,0.34173957797220794,2015,36047057100,2154,571.0,0.0,0.0,0.0,78.0,0.1273389838508539
3924,"Census Tract 571, Kings County, New York",63679.1,4324.0,0.9188251618871416,0.003469010175763182,0.0002124942557555832,0.006012950971322849,0.058160237388724036,0.4341246290801187,"$52,440","$41,500",0.53,0.9300448430493272,"$641,100","$1,201",0.2874653098982424,0.7125346901017576,0.4340888066604995,2010,36047057100,2154,571.0,0.0,0.0,0.0,78.0,0.12998153110667873
3931,"Census Tract 573, Kings County, New York",36158.1,2375.0,0.7924210526315789,0.07410526315789474,0.00033365096952908587,0.01936842105263158,0.10941609679116254,0.5234087322461862,"$70,878","$39,702",0.45,0.8355704697986577,"$688,600","$1,732",0.30147368421052634,0.6985263157894737,0.2770526315789474,2015,36047057300,1192,573.0,0.0,0.0,0.0,78.0,0.4562706126492418
