,Fl_ft2,LotArea,NumFloors,norm_gas,BuiltFAR,incomePC,ENERGY STAR Score,eui,log_eui,ZIPCODE,d_ghg,id_ghg,norm_elct,age,log_fl_ft2,log_LotArea,log_norm_gas,predicted_eui,diff_eui
1797,390628.0,136041,19.0,229049.0,2.38,64.16747818220519,77.0,74.7,1.8733206018153987,10025,1216.6,518.9,4.6,56,12.875510979443312,11.820711589873298,12.341691233446374,86.69233154292513,61.99233154292513
1798,390628.0,102811,19.0,133831.5,3.15,64.16747818220519,54.0,103.9,2.0166155475571776,10025,1690.0,585.7,6.3,56,12.875510979443312,11.540647630169744,11.804336824976879,97.31662837366939,43.41662837366938
1799,390628.0,132356,19.0,227060.0,2.44,64.16747818220519,67.0,89.3,1.9508514588885464,10025,1194.4,529.4,5.6,57,12.875510979443312,11.79325054096844,12.332969578718524,90.70348029180153,51.40348029180153
1800,390628.0,102811,19.0,244340.2,3.15,64.16747818220519,31.0,93.2,1.9694159123539812,10025,1284.1,499.3,5.3,56,12.875510979443312,11.540647630169744,12.40631679548927,88.90117260343219,45.701172603432184
1803,132444.0,44000,5.0,62450.2,3.01,64.16747818220519,88.0,61.8,1.790988475088816,10025,322.9,174.8,4.6,71,11.793915193560885,10.691944912900398,11.042124718110646,80.73806484021001,68.93806484021002
1804,132877.0,11202,17.0,2920.6,11.86,64.16747818220519,65.0,87.0,1.9395192526186185,10025,765.1,153.8,3.8,91,11.79717916727133,9.323847612769777,7.9795443536063715,77.94934278709047,40.94934278709047
1806,115776.0,20183,6.0,7273.2,5.74,64.16747818220519,24.0,91.0,1.9590413923210936,10025,566.1,232.6,7.0,47,11.659412568754966,9.912595944900119,8.89195163874524,82.52401811418936,41.52401811418936
1808,214358.0,42586,25.0,125274.8,5.03,64.16747818220519,1.0,106.3,2.0265332645232967,10025,664.7,851.4,13.6,15,12.275402793466363,10.659280839746344,11.738265003338924,113.2530631865425,56.95306318654251
1809,71216.0,13286,6.0,1892.2,5.36,64.16747818220519,41.0,91.0,1.9590413923210936,10025,394.3,98.6,4.8,61,11.173472791255636,9.494466128225186,7.545495452270344,77.66094115412042,36.66094115412042
1810,115824.0,10123,16.0,67188.8,9.14,64.16747818220519,63.0,86.4,1.9365137424788932,10025,347.9,139.7,5.1,88,11.659827076532922,9.222565341598752,11.115261845954143,85.04074385732933,48.640743857329326
1812,54824.0,10092,7.0,2387.6,5.43,64.16747818220519,16.0,119.2,2.0762762554042182,10025,424.2,69.3,4.3,97,10.91188333326566,9.219498309760949,7.7780439562944945,87.24269946940552,18.04269946940552
1814,503511.0,69605,14.0,274318.9,7.23,64.16747818220519,22.0,91.0,1.9590413923210936,10025,1443.2,1366.1,10.1,49,13.129360837972616,11.150591682822668,12.522046577213334,92.07599345587735,51.07599345587735
1815,121713.0,10092,17.0,54195.6,12.06,64.16747818220519,91.0,66.9,1.8254261177678233,10025,352.9,155.0,4.4,10,11.709421093320065,9.219498309760949,10.90035500332059,66.14142552288219,49.24142552288218
1817,257760.0,19935,16.0,85360.5,12.93,64.16747818220519,100.0,47.6,1.677606952720493,10025,453.4,309.7,4.1,54,12.459784198410802,9.900232259815455,11.354638743502997,63.87969617883516,66.27969617883517
1818,257760.0,24757,16.0,80059.7,10.41,64.16747818220519,90.0,55.9,1.7474118078864234,10025,425.2,530.4,7.1,54,12.459784198410802,10.116863556291285,11.290527885349936,76.37254949313048,70.47254949313049
1820,64105.0,16947,10.0,48146.5,3.78,64.16747818220519,44.0,86.3,1.9360107957152093,10025,250.0,119.6,5.8,26,11.068277642986802,9.737846105993372,10.78200372507232,86.58912991772345,50.28912991772346
1822,362400.0,54514,12.0,83817.4,6.65,64.16747818220519,57.0,56.8,1.7543483357110188,10025,441.3,1017.5,9.9,43,12.80050385315096,10.906212828397074,11.336395902148052,79.36847592979504,72.56847592979504
1824,86819.0,10000,12.0,41176.9,8.68,64.16747818220519,99.0,61.9,1.791690649020118,10025,217.9,105.4,4.2,87,11.37158077070386,9.210340371976184,10.625632698486378,81.37474575143472,69.47474575143471
1825,358800.0,24876,18.0,230279.2,14.42,64.16747818220519,40.0,99.8,1.999130541287371,10025,1217.9,485.5,5.9,9,12.790520409166778,10.12165876222378,12.347047764752098,71.52500640527329,21.72500640527329
1826,53305.0,9402,7.0,1223.0,5.67,64.16747818220519,100.0,64.9,1.8122446968003691,10025,230.2,67.9,3.9,92,10.883785414384576,9.148677711584076,7.109062135687172,80.2061973312622,65.3061973312622
1827,57300.0,10092,7.0,51206.5,5.68,64.16747818220519,29.0,108.5,2.0354297381845483,10025,272.3,189.0,9.6,120,10.95605590270283,9.219498309760949,10.843621756094732,117.65950920163702,59.15950920163702
1828,454038.0,37843,35.0,10932.6,10.45,64.16747818220519,22.0,83.1,1.9196010237841108,10025,1802.1,1122.5,8.2,34,13.025936173961327,10.54120130120716,9.299504430283887,92.08314869883392,58.98314869883393
1829,206767.0,10092,24.0,23093.3,18.97,64.16747818220519,98.0,29.6,1.4712917110589383,10025,122.7,315.0,5.3,86,12.239347834414966,9.219498309760949,10.047297811149152,71.89129333543625,92.29129333543625
1830,94455.0,8180,15.0,2207.7,11.55,64.16747818220519,72.0,82.6,1.9169800473203824,10025,505.0,128.4,4.4,91,11.455878809590953,9.009447429596793,7.699706528600663,79.52808300513776,46.928083005137765
1831,64650.0,13274,7.0,53805.9,4.87,64.16747818220519,15.0,171.8,2.235023159495224,10025,547.2,215.6,11.3,116,11.076743384200004,9.49356251370587,10.893138405564573,128.21143054543765,6.411430545437639
1832,88242.0,15876,7.0,8628.0,4.57,64.16747818220519,6.0,121.0,2.0827853703164503,10025,494.2,162.1,7.6,116,11.387838319128369,9.672563813902956,9.062768007509048,102.55772002080114,31.557720020801142
1833,98950.0,9192,13.0,2035.5,8.32,64.16747818220519,43.0,93.8,1.9722028383790644,10025,457.2,106.2,4.7,79,11.502369951030712,9.126088819528592,7.618496767943033,76.52709088741486,32.72709088741486
1835,53971.0,5042,12.0,37452.8,10.7,64.16747818220519,84.0,73.9,1.8686444383948255,10025,196.6,51.6,3.1,105,10.896202144253335,8.525558107747866,10.53083675250564,84.03384922225626,60.13384922225626
1836,166617.0,13458,15.0,3204.5,12.38,64.16747818220519,95.0,64.3,1.808210972924222,10025,695.0,178.9,3.5,91,12.023453044325397,9.507329003748263,8.07231135094428,71.15825234926521,56.858252349265214
1837,54520.0,8410,9.0,39737.5,6.48,64.16747818220519,79.0,87.2,1.9405164849325676,10025,211.5,64.3,4.1,92,10.90632288581047,9.037176752966994,10.590050605219059,88.17537910580238,50.975379105802375
1838,59780.0,10092,7.0,59.2,5.38,64.16747818220519,73.0,81.5,1.9111576087399769,10025,299.2,55.1,3.3,97,10.99842643583793,9.219498309760949,4.0809215418899605,71.42728235827883,39.92728235827883
1839,173686.0,19710,12.0,120950.5,7.63,64.16747818220519,38.0,88.0,1.944482672150169,10025,643.9,182.4,3.9,106,12.065004350247495,9.888881400146765,11.703136649969274,82.9294091392535,44.929409139253494
1840,107120.0,11706,12.0,30735.8,9.15,64.16747818220519,81.0,78.1,1.8926510338773004,10025,442.5,126.6,4.0,97,11.581704980365053,9.367856809851165,10.333183377959577,81.92871133459703,53.82871133459703
1843,111883.0,7866,14.0,88881.4,14.22,64.16747818220519,45.0,106.6,2.0277572046905536,10025,468.9,249.5,7.7,97,11.625208961400443,8.970304952991755,11.395058175764614,97.33410907500085,40.73410907500086
1844,107869.0,9600,16.0,24378.9,11.24,64.16747818220519,69.0,89.0,1.9493900066449128,10025,555.9,117.9,3.8,91,11.588672806908408,9.169518377455928,10.101473283067413,82.01287049669585,43.012870496695854
1845,171664.0,23908,31.0,83193.6,7.19,64.16747818220519,29.0,92.1,1.9642596301968491,10025,442.2,719.3,13.6,10,12.053294356876528,10.081968409944144,11.328925700773645,113.08172543811084,70.98172543811084
1847,108377.0,11683,12.0,19947.9,9.28,64.16747818220519,73.0,75.3,1.8767949762007008,10025,479.7,99.3,3.2,104,11.593371168353162,9.365890072717148,9.90087915361956,79.32336955412015,54.02336955412015
1848,95400.0,12683,10.0,8815.4,7.52,64.16747818220519,58.0,64.3,1.808210972924222,10025,244.0,197.9,7.5,110,11.465833857436378,9.448017793067429,9.084255471000414,95.5413186793269,81.24131867932691
