,Statistics,Population Density (per sq. mile),Total Population:,White Alone,Black or African American Alone,Asian Alone,Hispanic or Latino Alone,Less than High School,Bachelor's degree or More,Median household income (In 2013 Inflation Adjusted Dollars),Per capita income (In 2013 Inflation adjusted dollars),Gini Index,Occupied,Median year structure built,Median value,Median Gross Rent,Under 2.00 (Poor or struggling),2.00 and Over (Doing ok),Foreign Born:,Population 25 Years and Over:,Housing units:,Population for whom poverty status Is determined:,year
2652,"Census Tract 220, New York County, New York",93604.6,6323.0,835.0,4316.0,251.0,758.0,533.0,1514.0,"$33,710","$27,175",0.6,2537.0,1939.0,"$698,100",$950,3343.0,2980.0,1205.0,4206.0,2897.0,6323.0,2013
2653,Unnamed: 2654,,,0.132,0.6829999999999999,0.04,0.12,0.127,0.36,,,,0.8759999999999999,,,,0.529,0.47100000000000003,0.191,,,,2013
2654,"Census Tract 221.02, New York County, New York",59282.0,2266.0,573.0,1376.0,147.0,40.0,119.0,963.0,"$41,563","$35,739",0.47,1171.0,1939.0,"$513,700","$1,097",867.0,1399.0,653.0,1698.0,1335.0,2266.0,2013
2655,Unnamed: 2656,,,0.253,0.607,0.065,0.018000000000000002,0.07,0.5670000000000001,,,,0.877,,,,0.38299999999999995,0.617,0.28800000000000003,,,,2013
2656,"Census Tract 222, New York County, New York",42842.4,3001.0,805.0,1865.0,59.0,187.0,226.0,965.0,"$37,317","$33,318",0.55,1180.0,1948.0,"$1,000,001","$1,045",1522.0,1426.0,588.0,2035.0,1502.0,2948.0,2013
2657,Unnamed: 2658,,,0.268,0.622,0.02,0.062,0.111,0.474,,,,0.7859999999999999,,,,0.516,0.484,0.196,,,,2013
2658,"Census Tract 223.01, New York County, New York",112285.6,8279.0,2258.0,957.0,339.0,2965.0,2090.0,1125.0,"$31,122","$15,525",0.5,2322.0,1939.0,"$397,700","$1,022",4778.0,3501.0,4297.0,5136.0,2509.0,8279.0,2013
2659,Unnamed: 2660,,,0.273,0.11599999999999999,0.040999999999999995,0.358,0.40700000000000003,0.21899999999999997,,,,0.9259999999999999,,,,0.5770000000000001,0.423,0.519,,,,2013
2660,"Census Tract 223.02, New York County, New York",143372.0,3410.0,720.0,1386.0,98.0,771.0,505.0,651.0,"$23,208","$17,455",0.51,1482.0,1972.0,,$937,2265.0,1145.0,1263.0,2364.0,1515.0,3410.0,2013
2661,Unnamed: 2662,,,0.21100000000000002,0.40700000000000003,0.028999999999999998,0.226,0.214,0.275,,,,0.978,,,,0.664,0.336,0.37,,,,2013
2662,"Census Tract 224, New York County, New York",91646.7,6889.0,667.0,4137.0,160.0,1588.0,1103.0,825.0,"$25,409","$16,034",0.52,2587.0,1956.0,"$664,600",$632,4130.0,2759.0,1558.0,4233.0,2835.0,6889.0,2013
2663,Unnamed: 2664,,,0.09699999999999999,0.601,0.023,0.231,0.261,0.195,,,,0.9129999999999999,,,,0.6,0.401,0.226,,,,2013
